full_name,actual_rise_transition_max,actual_fall_transition_max,cached_ceff_max_rise,cached_ceff_max_fall,cached_ceff_min_rise,cached_ceff_min_fall,fanout_load,pin_capacitance_max,direction,max_rise_slack,max_fall_slack,max_rise_arrival,max_fall_arrival,actual_rise_transition_min,actual_fall_transition_min,min_rise_slack,min_fall_slack,min_rise_arrival,min_fall_arrival,x_coordinate,y_coordinate
g44107/Y,13.543480,10.131799,0.000769,0.000767,0.000649,0.000644,0.000000,0.000000,out,-113.390060,-109.577072,207.445587,211.578461,9.633420,6.154428,8.062308,-28.375137,20.376980,18.154236,17244.000000,11079.000000
g44548/Y,33.389145,27.943213,0.003345,0.003342,0.002828,0.002817,0.000000,0.000000,out,-66.365768,-68.877167,221.534729,216.503418,16.901278,16.738323,-4.798044,-35.366718,21.914211,21.998596,16596.000000,10953.000000
g41832__9315/Y,16.682793,14.500252,0.001197,0.001201,0.001085,0.001077,0.000000,0.000000,out,15.080566,16.179871,233.706726,234.139862,14.947174,12.040823,-2.628136,4.420914,33.729809,32.952858,15318.000000,11043.000000
g41839__46693/Y,34.770939,28.087614,0.001588,0.001588,0.001206,0.001220,0.000000,0.000000,out,16.319000,8.065231,223.944702,222.502838,17.647879,16.314821,-6.735041,-15.740536,22.580013,22.291729,16308.000000,10953.000000
g916/Y,35.889008,26.698559,0.001670,0.001664,0.001405,0.001391,0.000000,0.000000,out,13.617813,8.394333,224.514801,223.728806,19.629068,19.190559,4.594244,-1.233717,25.211220,24.213726,15552.000000,9873.000000
g51375/Y,22.535559,18.940304,0.001910,0.001905,0.001697,0.001615,0.000000,0.000000,out,15.941544,18.922134,236.960144,237.012344,19.990507,15.437300,-10.027031,-7.400806,36.566002,35.130798,15264.000000,9963.000000
g42149/Y,35.196671,28.340263,0.002080,0.002074,0.001925,0.001901,0.000000,0.000000,out,-75.962921,-78.305466,224.268723,220.807510,22.621540,22.043859,-0.882759,-32.303940,24.663309,24.204674,16146.000000,11043.000000
g44549/Y,15.634876,14.603000,0.003160,0.003165,0.002740,0.002744,0.000000,0.000000,out,-86.670074,-92.322159,227.885849,226.599838,13.384971,11.179895,-19.555504,10.941189,29.376225,28.618008,15588.000000,10503.000000
g41842__1666/Y,17.631777,15.236691,0.001318,0.001322,0.001206,0.001197,0.000000,0.000000,out,15.574493,16.403214,234.302933,234.686661,15.934298,12.799259,-3.356247,3.718874,34.383263,33.528751,16614.000000,11043.000000
g42201/Y,35.376621,28.482265,0.001194,0.001197,0.000986,0.001042,0.000000,0.000000,out,7.138901,27.182617,222.831009,220.527954,29.275158,23.542841,36.113869,6.777534,44.043846,40.082718,13158.000000,9423.000000
fopt46343/Y,9.407377,8.556036,0.001936,0.001916,0.001577,0.001547,0.000000,0.000000,out,-114.509651,-116.677582,211.570099,212.120682,7.584995,7.078111,38.169441,69.972794,35.899067,37.141907,8892.000000,14283.000000
